0, 1, 0, 1, 0
0.1, 0.989306, -0.0739515, 0.984196, -0.0746121
0.2, 0.957929, -0.143696, 0.938277, -0.148897
0.3, 0.907903, -0.205436, 0.866492, -0.222527
0.4, 0.842371, -0.256132, 0.775193, -0.295178
0.5, 0.765248, -0.293757, 0.671898, -0.366526
0.6, 0.68083, -0.317409, 0.564278, -0.436251
0.7, 0.593397, -0.327289, 0.459237, -0.504033
0.8, 0.506857, -0.324565, 0.362247, -0.569561
0.9, 0.424484, -0.311141, 0.276995, -0.632523
1, 0.348752, -0.289375, 0.205366, -0.692617
1.1, 0.281285, -0.261804, 0.147662, -0.749542
1.2, 0.222896, -0.230887, 0.102992, -0.803007
1.3, 0.173701, -0.198819, 0.0697011, -0.852724
1.4, 0.133272, -0.167397, 0.0457831, -0.898414
1.5, 0.100804, -0.137967, 0.0291964, -0.939805
1.6, 0.0752785, -0.111424, 0.0180821, -0.976631
1.7, 0.055596, -0.0882531, 0.0108795, -1.00864
1.8, 0.0406797, -0.0686054, 0.00636153, -1.03557
1.9, 0.0295452, -0.0523772, 0.00361629, -1.0572
2, 0.0213387, -0.0392932, 0.00199929, -1.07329
2.1, 0.0153516, -0.0289781, 0.0010754, -1.08362
2.2, 0.0110164, -0.0210155, 0.00056301, -1.08797
2.3, 0.00789288, -0.0149903, 0.000287007, -1.08615
2.4, 0.00564839, -0.0105174, 0.000142521, -1.07795
2.5, 0.00403683, -0.00725768, 6.897e-05, -1.06319
2.6, 0.00287931, -0.00492443, 3.25404e-05, -1.0417
2.7, 0.00204728, -0.0032838, 1.49747e-05, -1.01331
2.8, 0.00144904, -0.00215052, 6.72444e-06, -0.977865
2.9, 0.00101926, -0.00138166, 2.94789e-06, -0.935211
3, 0.000711293, -0.000869615, 1.26217e-06, -0.885212
3.1, 0.000491622, -0.000535119, 5.28044e-07, -0.827737
3.2, 0.000335985, -0.000321047, 2.15957e-07, -0.762666
3.3, 0.000226691, -0.000187053, 8.63778e-08, -0.689887
3.4, 0.000150775, -0.000105221, 3.38045e-08, -0.609294
3.5, 9.87123e-05, -5.66227e-05, 1.29502e-08, -0.520792
3.6, 6.35229e-05, -2.86953e-05, 4.85858e-09, -0.424294
3.7, 4.01186e-05, -1.32823e-05, 1.78592e-09, -0.319718
3.8, 2.48252e-05, -5.21336e-06, 6.43472e-10, -0.206995
3.9, 1.50225e-05, -1.29599e-06, 2.27354e-10, -0.0860568
4, 8.86916e-06, 3.82962e-07, 7.88087e-11, 0.0431522
